Alabama,,9,849624,1441170,32488,2323282,
Alaska,,3,153778,189951,15801,359530,
Arizona,11,,1672143,1661686,53497,3387326,
Arkansas,,6,423932,760647,34490,1219069,
California,55,,11110639,6006518,384223,17501380,
Colorado,9,,1804352,1364607,88021,3256980,
Connecticut,7,,1080831,714717,28309,1823857,
Delaware,3,,296268,200603,7475,504346,
Washington,3,,317323,18586,8447,344356,
Florida,,29,5297045,5668731,101680,11067456,
Georgia,16,,2473633,2461854,64473,4999960,
Hawaii,4,,366130,196864,11475,574469,
Idaho,,4,287021,554119,26794,867934,
Illinois,20,,3471915,2446891,114938,6033744,
Indiana,,11,1242498,1729857,60855,3033210,
Iowa,,6,759061,897672,34138,1690871,
Kansas,,6,570323,771406,32257,1373986,
Kentucky,,8,772474,1326646,37648,2136768,
Louisiana,,8,856034,1255776,36252,2148062,
Maine,3,1,435072,360737,23652,819461,
Maryland,10,,1985023,976414,75593,3037030,
Massachusetts,11,,2382202,1167202,81998,3631402,
Michigan,16,,2804040,2649852,85410,5539302,
Minnesota,10,,1717077,1484065,76029,3277171,
Mississippi,,6,539398,756764,17597,1313759,
Missouri,,10,1253014,1718736,54212,3025962,
Montana,,3,244786,343602,15286,603674,
Nebraska,1,4,374583,556846,24954,956383,
Nevada,6,,703486,669890,32000,1405376,
New Hampshire,4,,424937,365660,15608,806205,
New Jersey,14,,2608400,1883313,57744,4549457,
New Mexico,5,,501614,401894,20457,923965,
New York,29,,5244886,3251997,119978,8616861,
North Carolina,,15,2684292,2758775,81737,5524804,
North Dakota,,3,115042,235751,11231,362024,
Ohio,,18,2679165,3154834,88203,5922202,
Oklahoma,,7,503890,1020280,36529,1560699,
Oregon,7,,1340383,958448,75490,2374321,
Pennsylvania,20,,3458229,3377674,101073,6936976,
Rhode Island,4,,307486,199922,10349,517757,
South Carolina,,9,1091541,1385103,36685,2513329,
South Dakota,,3,150471,261043,11095,422609,
Tennessee,,11,1143711,1852475,57665,3053851,
Texas,,38,5259126,5890347,165583,11315056,
Utah,,6,560282,865140,62867,1488289,
Vermont,3,,242820,112704,11904,367428,
Virginia,13,,2413568,1962430,84526,4460524,
Washington,12,,2369612,1584651,133368,4087631,
West Virginia,,5,235984,545382,13365,794731,
Wisconsin,10,,1630866,1610184,56991,3298041,
Wyoming,,3,73491,193559,9715,276765,
